"Hits: 3697","page_num: 1","page_size: 2000","Keyword Version: 21.1","Revision: 2025-04-21 07:18:04","Timestamp: 2025-04-27 22:52:39","Terms Of Use: https://cdn.earthdata.nasa.gov/conduit/upload/5182/KeywordsCommunityGuide_Baseline_v1_SIGNED_FINAL.pdf","The most up to date XML representations can be found here: https://gcmd.earthdata.nasa.gov/kms/concepts/concept_scheme/providers/?format=xml","Case native"
Bucket_Level0,Bucket_Level1,Bucket_Level2,Bucket_Level3,Short_Name,Long_Name,Data_Center_URL,UUID
"CONSORTIA/INSTITUTIONS","","","","AAG","Association of American Geographers","http://www.aag.org/","5db54f8a-9560-4c43-91ce-3f9fc9fde0a6"
"ACADEMIC","","","","ABDN/GEOG/CMCZM","Centre for Marine and Coastal Zone Management, Department of Geography, University of Aberdeen","http://www.abdn.ac.uk/cmczm/","629e2467-b1af-4b63-a642-2898d4b67c4c"
"ACADEMIC","","","","","","","7700280b-68ee-4644-bf5e-84e7a6adf897"
"NON-GOVERNMENT/NON-PROFIT ORGANIZATIONS","","","","ACB","Alliance for the Chesapeake Bay","http://www.acb-online.org/project.cfm?vid=206","147ac595-15f8-4d06-845a-91004d5a9dd0"
"COMMERCIAL","","","","ACME","ACME Laboratories","http://www.acme.com/","bd4e8f5c-5e78-4377-becc-90f608e49d00"
"CONSORTIA/INSTITUTIONS","","","","ACS/ED","Education, American Chemical Society","http://www.chemistry.org/education/","e0cbc6da-5d9c-4eb2-b892-cb5b8fbd5e65"
"CONSORTIA/INSTITUTIONS","","","","AECT","African Elephant Conservation Trust","http://www.elephanttrust.org/","f2922f6d-7f3e-4c96-a85e-fe7a47554295"
"COMMERCIAL","","","","AERO-METRIC, INC.","AERO-METRIC, Inc.","http://www.aerometric.com/","1d7bc9f0-4d4e-47a7-9d7a-944ba1e2338a"
"COMMERCIAL","","","","AFI","Aquarius Flight Inc.","","13a13f18-f2e8-42ea-883e-fdb7b95e5afe"
"CONSORTIA/INSTITUTIONS","","","","AGI","American Geological Institute","http://www.agiweb.org/","551dcf7f-db04-4fe8-b4ca-6c8a9d51f498"
"CONSORTIA/INSTITUTIONS","","","","AGI/CRB","Cold Regions Bibliography, American Geological Institute","http://www.coldregions.org","63c4bc95-7f26-4c1d-88ff-bca417888798"
"CONSORTIA/INSTITUTIONS","","","","AGI/CRBP","Cold Regions Bibliography Project, American Geological Institute","http://www.coldregions.org","757e6a52-d0a0-4e30-8f47-cdbf89d5d07c"
"CONSORTIA/INSTITUTIONS","","","","AGI/ESWORLD","Earth Science World, American Geological Institute","http://www.earthscienceworld.org/","6956d724-af69-466b-b84b-4a8d137506d5"
"U.S. STATE/REGIONAL/LOCAL AGENCIES","ALASKA","","","AK/ACRC","Alaska Climate Research Center, Alaska","https://akclimate.org/","094a9478-cdf5-4e09-8ea8-a85dfd99474b"
"U.S. STATE/REGIONAL/LOCAL AGENCIES","ALASKA","","","AK/ASCC","Alaska State Climate Center, Alaska","http://climate.uaa.alaska.edu/","45a03fd6-12f3-4fc0-a7c6-0d3f15cf7b91"
